Date,Actual_Price,ARIMA_Forecast,SARIMA_Forecast
2018-01-09,2917,2851.3979261432223,2992.31463388002
2018-01-10,2932,2851.193628215221,2992.5519723637135
2018-01-11,2938,2850.9898936529326,2992.7862075655476
2018-01-12,2944,2850.786720902836,2993.0223185656046
2018-01-13,2957,2850.584108415696,2993.2564518632626
2018-01-14,2957,2850.3820546465486,2993.4884428720716
2018-01-15,2973,2850.1805580546893,2993.724030601989
2018-01-16,2976,2849.979617103664,2993.959217664089
2018-01-17,2976,2849.7792302612543,2994.192518956793
2018-01-18,2964,2849.579395999467,2994.4270752449756
2018-01-19,2975,2849.380112794523,2994.661542857988
2018-01-20,2977,2849.1813791268446,2994.8953928489427
2018-01-21,2977,2848.983193481045,2995.1304961723094
2018-01-22,2984,2848.785554345915,2995.364812082752
2018-01-23,2982,2848.588460214414,2995.598377207516
2018-01-24,3021,2848.3919095836577,2995.8324874372684
2018-01-25,3021,2848.1959009549037,2996.0648058714255
2018-01-26,3036,2848.000432833544,2996.300160522307
2018-01-27,3036,2847.8055037290924,2996.533465560391
2018-01-28,3036,2847.611112155172,2996.7700773827883
2018-01-29,3006,2847.4172566295056,2997.004696319841
2018-01-30,3016,2847.223935673903,2997.238228432124
2018-01-31,3009,2847.0311478142494,2997.471939487131
2018-02-01,3045,2846.838891580496,2997.7066932733746
2018-02-02,3034,2846.6471655066475,2997.93991335687
2018-02-03,3037,2846.455968130752,2998.173865608904
2018-02-04,3037,2846.2652979948866,2998.408219889865
2018-02-05,3027,2846.0751536451517,2998.644447097242
2018-02-06,3031,2845.885533631655,2998.8803211219165
2018-02-07,3010,2845.696436508503,2999.1145622835115
2018-02-08,2995,2845.50786083379,2999.3482085952664
2018-02-09,2994,2845.319805169584,2999.5849247676133
2018-02-10,3001,2845.1322680819217,2999.819661855521
2018-02-11,3001,2844.9452481407916,3000.0556058635866
2018-02-12,3012,2844.758743920126,3000.290291021847
2018-02-13,3018,2844.57275399779,3000.5236120155646
2018-02-14,3033,2844.387276955571,3000.759241111786
2018-02-15,3058,2844.2023113791656,3000.9946204695816
